ID,ERQ_reappraisal,ERQ_suppression
sub-010017,4.8333333333,4.75
sub-010015,3.6666666667,4.75
sub-010100,4.1666666667,5.0
sub-010003,3.5,4.25
sub-010022,4.1666666667,2.5
sub-010021,4.5,2.75
sub-010023,5.3333333333,4.75
sub-010104,2.0,6.0
sub-010010,2.5,2.75
sub-010016,4.1666666667,2.0
sub-010019,5.8333333333,4.25
sub-010024,5.1666666667,4.0
sub-010026,5.6666666667,3.5
sub-010027,4.1666666667,5.5
sub-010134,4.6666666667,3.75
sub-010028,6.1666666667,1.75
sub-010029,3.6666666667,2.25
sub-010030,2.5,4.25
sub-010150,5.3333333333,3.75
sub-010032,5.5,3.5
sub-010031,4.6666666667,1.75
sub-010321,4.6666666667,4.0
sub-010033,5.3333333333,4.5
sub-010020,5.8333333333,3.5
sub-010170,5.8333333333,4.0
sub-010183,5.0,2.75
sub-010035,3.5,3.75
sub-010197,4.5,4.5
sub-010202,2.8333333333,2.75
sub-010034,4.0,1.5
sub-010199,4.5,6.5
sub-010040,3.0,5.25
sub-010039,4.3333333333,5.75
sub-010006,4.0,3.5
sub-010012,5.3333333333,5.0
sub-010219,4.3333333333,4.25
sub-010041,5.0,3.5
sub-010222,4.6666666667,5.5
sub-010002,5.6666666667,2.5
sub-010004,5.0,3.75
sub-010044,4.3333333333,5.0
sub-010037,6.3333333333,6.25
sub-010223,4.6666666667,4.75
sub-010043,2.5,1.75
sub-010045,5.3333333333,4.5
sub-010047,4.5,2.5
sub-010007,4.3333333333,4.25
sub-010046,5.1666666667,3.75
sub-010048,6.8333333333,6.25
sub-010049,5.0,4.25
sub-010234,4.0,4.0
sub-010059,7.0,7.0
sub-010236,3.5,3.5
sub-010056,4.6666666667,2.75
sub-010062,4.1666666667,3.25
sub-010063,3.1666666667,3.0
sub-010060,3.3333333333,4.0
sub-010051,3.3333333333,4.25
sub-010050,5.8333333333,4.25
sub-010042,4.8333333333,1.25
sub-010068,5.3333333333,3.25
sub-010070,4.8333333333,3.75
sub-010238,5.1666666667,5.75
sub-010207,4.5,4.25
sub-010069,5.3333333333,5.0
sub-010073,4.0,3.25
sub-010075,4.3333333333,1.75
sub-010076,4.0,3.5
sub-010065,4.5,2.5
sub-010077,4.0,1.75
sub-010061,5.0,4.0
sub-010074,5.1666666667,3.0
sub-010078,5.3333333333,4.5
sub-010052,6.6666666667,4.0
sub-010071,4.1666666667,4.25
sub-010080,6.3333333333,2.0
sub-010067,3.8333333333,2.0
sub-010064,5.6666666667,2.25
sub-010072,5.6666666667,3.75
sub-010081,5.6666666667,5.5
sub-010079,4.3333333333,3.75
sub-010240,5.1666666667,4.75
sub-010083,3.6666666667,1.75
sub-010084,4.3333333333,3.5
sub-010053,5.0,5.0
sub-010085,4.0,4.25
sub-010066,5.0,2.5
sub-010086,3.8333333333,1.75
sub-010089,3.0,2.0
sub-010087,4.1666666667,5.75
sub-010242,5.8333333333,3.25
sub-010038,5.1666666667,3.75
sub-010246,4.1666666667,3.5
sub-010243,5.8333333333,3.25
sub-010090,5.1666666667,3.0
sub-010247,5.3333333333,4.75
sub-010248,4.8333333333,1.75
sub-010244,4.5,4.5
sub-010250,4.5,2.5
