ID,MARS_Behavioral_Distraction,MARS_Cognitive_Distraction,MARS_Situation_focused,MARS_Affect_focused,MARS_Disengagement,MARS_Avoidance
sub-010026,3.4285714286,3.6,3.4,2.6,0.3333333333,2.75
sub-010027,2.2857142857,1.2,1.8,2.8,3.0,2.75
sub-010134,2.8571428571,3.0,4.0,2.8,2.3333333333,2.75
sub-010028,3.8571428571,4.4,3.4,3.4,1.0,1.75
sub-010029,3.4285714286,2.2,3.2,5.0,1.3333333333,2.25
sub-010030,1.4285714286,2.8,4.4,1.4,1.3333333333,3.5
sub-010150,3.4285714286,4.4,3.6,3.4,3.3333333333,3.5
sub-010032,1.8571428571,3.4,2.8,3.2,2.6666666667,1.75
sub-010031,2.2857142857,3.0,3.2,2.6,2.0,2.25
sub-010321,3.5714285714,3.8,2.2,2.2,2.3333333333,3.75
sub-010033,2.2857142857,2.8,3.2,2.2,1.3333333333,2.5
sub-010020,2.8571428571,0.4,3.4,1.8,0.0,1.5
sub-010170,3.8571428571,3.0,3.8,2.0,2.6666666667,3.0
sub-010183,3.5714285714,5.4,5.0,3.4,0.6666666667,3.25
sub-010035,3.7142857143,3.4,4.0,2.0,1.0,1.5
sub-010197,4.0,4.2,3.4,3.4,1.6666666667,4.75
sub-010202,2.8571428571,3.0,3.8,1.8,0.3333333333,3.0
sub-010034,3.4285714286,3.6,3.6,2.6,0.3333333333,2.0
sub-010199,2.8571428571,3.6,2.6,1.0,3.0,3.75
sub-010040,2.8571428571,1.8,2.2,2.0,2.6666666667,4.0
sub-010039,2.7142857143,4.2,3.2,1.0,1.0,2.25
sub-010006,1.7142857143,3.4,2.6,2.2,3.0,1.5
sub-010012,2.0,2.6,2.0,0.6,1.3333333333,1.5
sub-010219,3.5714285714,4.2,4.6,1.2,0.6666666667,0.75
sub-010041,2.1428571429,3.6,3.4,2.0,1.6666666667,2.75
sub-010222,3.2857142857,5.2,5.4,1.8,1.3333333333,2.25
sub-010002,2.1428571429,4.0,3.2,4.2,0.6666666667,1.75
sub-010004,3.8571428571,3.4,4.2,3.6,1.3333333333,2.75
sub-010044,2.7142857143,1.8,2.4,2.8,2.6666666667,3.75
sub-010037,3.7142857143,4.0,3.6,2.0,1.3333333333,2.75
sub-010223,4.2857142857,3.6,2.4,3.4,1.3333333333,2.0
sub-010043,3.1428571429,3.8,4.0,3.2,1.0,2.5
sub-010045,3.0,3.8,2.8,1.4,1.6666666667,2.0
sub-010047,2.8571428571,3.0,2.6,2.0,2.0,2.5
sub-010007,2.2857142857,2.6,3.0,2.2,1.0,2.5
sub-010046,2.2857142857,3.4,3.6,1.8,1.3333333333,1.75
sub-010048,5.0,5.0,5.2,4.0,0.3333333333,4.5
sub-010049,2.4285714286,4.6,3.4,2.6,1.3333333333,3.25
sub-010234,3.2857142857,4.0,4.0,2.6,1.0,2.0
sub-010059,4.2857142857,3.6,2.8,1.4,2.6666666667,2.0
sub-010236,4.4285714286,4.0,4.2,3.0,1.6666666667,2.5
sub-010056,2.4285714286,3.4,3.8,2.4,2.6666666667,1.75
sub-010062,2.1428571429,2.6,2.2,2.2,1.3333333333,1.75
sub-010063,2.1428571429,3.8,2.0,2.2,3.0,3.0
sub-010060,4.1428571429,4.4,3.2,3.2,1.3333333333,3.75
sub-010051,2.7142857143,3.0,3.6,2.6,1.3333333333,2.5
sub-010050,3.5714285714,4.6,5.6,3.6,0.6666666667,2.75
sub-010042,3.4285714286,3.2,3.0,5.2,3.3333333333,2.5
sub-010068,2.5714285714,2.6,3.0,2.4,2.0,3.5
sub-010070,3.2857142857,2.4,3.0,2.8,1.3333333333,2.0
sub-010238,4.0,3.0,4.8,2.4,3.0,3.5
sub-010207,5.0,4.8,4.0,2.2,1.3333333333,3.75
sub-010069,4.2857142857,4.4,4.6,1.8,2.0,4.0
sub-010073,2.4285714286,3.6,1.4,2.2,4.6666666667,2.5
sub-010075,2.8571428571,3.4,3.2,3.0,2.6666666667,1.75
sub-010076,2.7142857143,3.8,3.2,3.2,1.6666666667,2.25
sub-010065,4.5714285714,3.2,3.2,3.4,2.6666666667,2.5
sub-010077,3.4285714286,4.2,5.0,4.6,0.3333333333,1.75
sub-010061,3.8571428571,3.2,3.6,3.2,1.6666666667,2.5
sub-010074,3.7142857143,5.2,5.2,3.4,1.0,1.75
sub-010078,4.5714285714,4.6,4.2,2.2,1.0,5.0
sub-010052,3.2857142857,3.0,2.0,1.4,0.0,1.75
sub-010071,3.5714285714,2.6,3.4,2.6,2.0,2.0
sub-010080,2.5714285714,4.4,4.4,3.0,0.6666666667,2.5
sub-010067,3.7142857143,4.4,3.2,3.8,1.3333333333,1.5
sub-010064,3.5714285714,3.4,4.0,3.6,1.6666666667,2.5
sub-010072,2.7142857143,4.2,4.8,2.4,2.3333333333,2.75
sub-010081,3.5714285714,3.6,3.4,3.0,1.6666666667,2.0
sub-010079,3.7142857143,3.4,3.4,2.4,1.6666666667,3.25
sub-010240,2.8571428571,4.2,2.8,1.6,3.3333333333,2.5
sub-010083,3.7142857143,3.8,3.8,4.6,1.3333333333,2.25
sub-010084,3.0,3.6,3.2,2.4,2.0,2.25
sub-010053,3.8571428571,2.6,3.0,0.4,1.3333333333,3.25
sub-010085,2.2857142857,3.4,3.2,2.0,1.6666666667,3.0
sub-010066,3.1428571429,3.8,2.8,2.0,3.0,2.75
sub-010086,2.7142857143,2.4,2.8,2.0,1.0,2.0
sub-010089,3.8571428571,4.2,4.2,3.0,1.6666666667,1.5
sub-010087,2.7142857143,3.4,2.8,1.4,2.6666666667,3.5
sub-010242,3.2857142857,4.2,4.0,2.6,1.3333333333,3.5
sub-010038,3.7142857143,3.2,2.4,1.8,2.0,3.0
sub-010246,1.5714285714,2.0,4.0,2.4,1.0,2.0
sub-010243,1.1428571429,4.2,3.2,1.2,1.3333333333,3.25
sub-010090,4.4285714286,5.0,5.0,4.2,1.0,2.0
sub-010247,2.1428571429,3.8,3.4,2.6,1.3333333333,3.25
sub-010248,2.8571428571,4.0,3.6,2.4,1.0,1.25
sub-010244,4.4285714286,4.6,4.6,2.4,1.3333333333,4.25
sub-010250,2.4285714286,2.4,2.8,1.2,1.6666666667,2.0
sub-010088,3.7142857143,3.0,3.2,1.4,2.0,2.0
sub-010251,2.7142857143,3.2,3.6,2.0,1.3333333333,3.25
sub-010091,4.1428571429,4.8,3.6,2.0,1.0,2.75
sub-010245,2.7142857143,3.0,2.6,1.6,2.0,2.25
sub-010249,2.1428571429,2.8,2.8,2.6,2.0,1.75
sub-010092,2.8571428571,3.2,3.6,2.0,1.6666666667,1.5
sub-010241,4.0,4.2,3.2,2.6,2.3333333333,2.75
sub-010094,2.8571428571,3.8,3.4,2.8,3.6666666667,3.0
sub-010252,3.5714285714,3.2,3.8,2.8,1.3333333333,1.25
sub-010126,4.5714285714,3.8,3.6,4.4,0.6666666667,2.0
sub-010254,3.0,4.0,3.6,2.0,0.6666666667,2.0
sub-010093,3.7142857143,4.0,4.6,2.0,0.6666666667,3.0
sub-010256,3.0,3.6,2.8,2.4,3.0,2.75
sub-010137,3.1428571429,3.2,4.2,3.2,2.3333333333,3.25
