ID,MDBF_Day1_GS_Scale,MDBF_Day1_WM_Scale,MDBF_Day1_RU_Scale
sub-010017,,,
sub-010015,33.0,26.0,31.0
sub-010100,33.0,34.0,18.0
sub-010003,34.0,32.0,33.0
sub-010022,27.0,34.0,32.0
sub-010021,35.0,27.0,30.0
sub-010023,36.0,35.0,32.0
sub-010104,33.0,19.0,30.0
sub-010010,32.0,24.0,28.0
sub-010016,38.0,38.0,33.0
sub-010019,35.0,30.0,36.0
sub-010024,31.0,27.0,31.0
sub-010169,35.0,26.0,30.0
sub-010026,38.0,33.0,36.0
sub-010027,34.0,22.0,34.0
sub-010134,34.0,32.0,26.0
sub-010028,36.0,25.0,33.0
sub-010029,34.0,35.0,32.0
sub-010030,32.0,27.0,25.0
sub-010150,31.0,23.0,30.0
sub-010032,36.0,28.0,28.0
sub-010031,32.0,35.0,27.0
sub-010321,33.0,31.0,32.0
sub-010033,32.0,31.0,29.0
sub-010020,35.0,18.0,30.0
sub-010170,36.0,38.0,35.0
sub-010110,35.0,34.0,23.0
sub-010183,26.0,25.0,26.0
sub-010035,36.0,36.0,35.0
sub-010197,34.0,23.0,31.0
sub-010202,35.0,33.0,36.0
sub-010034,34.0,24.0,23.0
sub-010199,40.0,40.0,38.0
sub-010040,27.0,20.0,24.0
sub-010039,37.0,37.0,36.0
sub-010006,36.0,34.0,31.0
sub-010012,36.0,28.0,34.0
sub-010219,33.0,28.0,34.0
sub-010041,40.0,40.0,40.0
sub-010222,35.0,26.0,21.0
sub-010002,36.0,33.0,35.0
sub-010004,40.0,40.0,28.0
sub-010044,36.0,36.0,31.0
sub-010037,33.0,36.0,32.0
sub-010223,,26.0,34.0
sub-010043,37.0,26.0,27.0
sub-010045,39.0,40.0,39.0
sub-010047,32.0,29.0,27.0
sub-010007,24.0,33.0,26.0
sub-010046,37.0,32.0,35.0
sub-010048,36.0,40.0,
sub-010049,36.0,36.0,37.0
sub-010234,36.0,36.0,36.0
sub-010059,40.0,36.0,30.0
sub-010236,30.0,20.0,30.0
sub-010056,30.0,22.0,28.0
sub-010062,36.0,33.0,29.0
sub-010063,30.0,24.0,32.0
sub-010060,39.0,39.0,37.0
sub-010051,36.0,30.0,33.0
sub-010050,40.0,40.0,40.0
sub-010042,36.0,25.0,34.0
sub-010068,39.0,36.0,35.0
sub-010070,40.0,32.0,40.0
sub-010238,40.0,36.0,27.0
sub-010207,29.0,33.0,27.0
sub-010069,31.0,31.0,34.0
sub-010073,36.0,34.0,35.0
sub-010075,36.0,33.0,34.0
sub-010076,38.0,36.0,35.0
sub-010065,32.0,27.0,28.0
sub-010077,36.0,16.0,31.0
sub-010061,36.0,28.0,31.0
sub-010074,32.0,37.0,28.0
sub-010078,38.0,37.0,40.0
sub-010052,40.0,33.0,40.0
sub-010071,30.0,23.0,28.0
sub-010080,31.0,25.0,30.0
sub-010067,33.0,30.0,35.0
sub-010064,38.0,23.0,37.0
sub-010072,37.0,36.0,36.0
sub-010081,36.0,38.0,31.0
sub-010079,40.0,32.0,37.0
sub-010240,34.0,32.0,33.0
sub-010083,33.0,27.0,26.0
sub-010084,34.0,27.0,25.0
sub-010053,32.0,24.0,30.0
sub-010237,27.0,24.0,30.0
sub-010085,33.0,34.0,29.0
sub-010066,25.0,13.0,21.0
sub-010086,35.0,38.0,38.0
sub-010235,36.0,28.0,34.0
sub-010089,30.0,29.0,28.0
sub-010087,40.0,40.0,33.0
sub-010242,37.0,32.0,28.0
sub-010038,36.0,33.0,31.0
sub-010246,36.0,32.0,36.0
sub-010243,39.0,40.0,36.0
sub-010090,36.0,37.0,36.0
sub-010247,34.0,32.0,28.0
sub-010248,36.0,37.0,29.0
sub-010244,35.0,33.0,34.0
sub-010250,37.0,36.0,34.0
sub-010088,36.0,36.0,32.0
sub-010251,34.0,32.0,33.0
sub-010091,35.0,35.0,34.0
sub-010245,36.0,37.0,29.0
sub-010249,32.0,32.0,24.0
sub-010092,37.0,37.0,32.0
sub-010241,34.0,33.0,33.0
sub-010094,38.0,28.0,33.0
sub-010252,37.0,34.0,25.0
sub-010126,40.0,38.0,39.0
sub-010254,37.0,37.0,39.0
sub-010093,35.0,38.0,36.0
sub-010256,33.0,28.0,35.0
sub-010137,36.0,37.0,40.0
sub-010136,38.0,36.0,29.0
sub-010142,39.0,39.0,40.0
sub-010262,38.0,35.0,34.0
sub-010264,38.0,37.0,36.0
sub-010036,40.0,35.0,39.0
sub-010239,34.0,33.0,32.0
sub-010138,36.0,38.0,33.0
sub-010148,36.0,32.0,31.0
sub-010152,34.0,34.0,29.0
sub-010146,33.0,36.0,27.0
sub-010141,33.0,31.0,32.0
sub-010257,40.0,40.0,40.0
sub-010265,23.0,22.0,29.0
sub-010258,40.0,40.0,38.0
sub-010260,36.0,28.0,33.0
sub-010263,32.0,32.0,32.0
sub-010271,33.0,25.0,31.0
sub-010269,35.0,22.0,33.0
sub-010267,31.0,30.0,
sub-010273,35.0,19.0,29.0
sub-010163,36.0,31.0,36.0
sub-010165,33.0,29.0,33.0
sub-010162,32.0,28.0,32.0
sub-010270,35.0,26.0,34.0
sub-010268,33.0,34.0,28.0
sub-010155,17.0,15.0,15.0
sub-010164,34.0,33.0,39.0
sub-010272,40.0,38.0,29.0
sub-010261,37.0,39.0,35.0
sub-010266,35.0,32.0,38.0
sub-010274,29.0,26.0,25.0
sub-010166,39.0,34.0,35.0
sub-010255,33.0,24.0,26.0
sub-010275,24.0,24.0,24.0
sub-010168,35.0,30.0,35.0
sub-010157,36.0,27.0,34.0
sub-010176,38.0,37.0,29.0
sub-010276,35.0,37.0,30.0
sub-010279,39.0,39.0,39.0
sub-010280,26.0,35.0,24.0
sub-010281,29.0,25.0,23.0
sub-010278,36.0,40.0,40.0
sub-010277,27.0,12.0,23.0
sub-010282,34.0,33.0,31.0
sub-010283,33.0,26.0,28.0
sub-010284,36.0,35.0,30.0
sub-010285,38.0,38.0,40.0
sub-010287,39.0,37.0,27.0
sub-010288,31.0,35.0,29.0
sub-010290,36.0,38.0,35.0
sub-010291,38.0,40.0,37.0
sub-010289,40.0,27.0,39.0
sub-010286,37.0,38.0,34.0
sub-010191,35.0,25.0,35.0
sub-010293,35.0,33.0,30.0
