ID,NYC-Q_lemon_1,NYC-Q_lemon_2,NYC-Q_lemon_3,NYC-Q_lemon_4,NYC-Q_lemon_5,NYC-Q_lemon_6,NYC-Q_lemon_7,NYC-Q_lemon_8,NYC-Q_lemon_9,NYC-Q_lemon_10,NYC-Q_lemon_11,NYC-Q_lemon_12,NYC-Q_lemon_13,NYC-Q_lemon_14,NYC-Q_lemon_15,NYC-Q_lemon_16,NYC-Q_lemon_17,NYC-Q_lemon_18,NYC-Q_lemon_19,NYC-Q_lemon_20,NYC-Q_lemon_21,NYC-Q_lemon_22,NYC-Q_lemon_23,NYC-Q_lemon_24,NYC-Q_lemon_25,NYC-Q_lemon_26,NYC-Q_lemon_27,NYC-Q_lemon_28,NYC-Q_lemon_29,NYC-Q_lemon_30,NYC-Q_lemon_31,Unnamed: 32,Unnamed: 33
sub-010002,1.0,1,1.0,2,2.0,1.0,1.0,1,1,1,1,7.0,7.0,9,6.0,6.0,3.0,1.0,1.0,1,1.0,6,1,1.0,9.0,3,3.0,1.0,4.0,2.0,1.0,,
sub-010003,2.0,4,2.0,2,6.0,6.0,2.0,2,2,2,2,5.0,2.0,6,2.0,7.0,5.0,2.0,7.0,7,2.0,7,7,8.0,2.0,2,8.0,8.0,8.0,2.0,2.0,,
sub-010004,1.0,9,9.0,9,9.0,1.0,1.0,9,1,5,5,9.0,9.0,1,1.0,1.0,1.0,9.0,9.0,9,5.0,4,1,9.0,1.0,9,3.0,9.0,9.0,1.0,1.0,,
sub-010005,9.0,4,8.0,1,9.0,9.0,9.0,9,1,1,1,9.0,9.0,9,1.0,6.0,1.0,1.0,7.0,1,1.0,9,1,9.0,1.0,1,7.0,9.0,9.0,1.0,7.0,,
sub-010006,2.0,1,1.0,3,2.0,1.0,1.0,1,1,1,1,1.0,1.0,3,3.0,3.0,1.0,2.0,1.0,1,1.0,1,2,1.0,1.0,1,1.0,1.0,1.0,8.0,9.0,,
sub-010007,8.0,9,9.0,9,6.0,1.0,8.0,1,1,2,9,2.0,1.0,1,9.0,9.0,,2.0,2.0,9,2.0,1,8,,,,,,,,,,
sub-010010,5.0,7,4.0,2,5.0,7.0,4.0,6,5,4,3,3.0,3.0,4,2.0,6.0,4.0,2.0,5.0,7,6.0,5,6,3.0,6.0,5,2.0,4.0,2.0,7.0,8.0,,
sub-010012,1.0,2,2.0,3,1.0,1.0,1.0,1,1,1,1,2.0,2.0,6,9.0,9.0,9.0,9.0,2.0,2,1.0,1,1,7.0,6.0,2,2.0,1.0,8.0,6.0,3.0,,
sub-010015,6.0,7,7.0,1,5.0,5.0,1.0,8,1,1,1,7.0,7.0,8,8.0,8.0,1.0,1.0,9.0,8,7.0,1,1,9.0,1.0,1,5.0,2.0,1.0,9.0,9.0,,
sub-010016,2.0,9,9.0,9,9.0,1.0,1.0,1,1,1,1,9.0,9.0,6,9.0,7.0,1.0,1.0,9.0,9,1.0,1,6,9.0,9.0,1,3.0,5.0,6.0,1.0,1.0,,
sub-010017,4.0,6,3.0,2,2.0,4.0,6.0,4,3,2,2,5.0,2.0,6,5.0,7.0,3.0,3.0,6.0,5,3.0,5,3,5.0,7.0,1,5.0,3.0,3.0,5.0,6.0,,
sub-010019,8.0,9,8.0,5,9.0,9.0,8.0,9,6,9,9,5.0,5.0,7,9.0,9.0,4.0,9.0,9.0,9,7.0,4,9,9.0,8.0,4,8.0,9.0,9.0,5.0,2.0,,
sub-010020,1.0,9,9.0,1,1.0,1.0,1.0,1,1,1,1,1.0,1.0,9,9.0,1.0,1.0,1.0,9.0,9,1.0,1,1,1.0,9.0,9,1.0,1.0,1.0,1.0,1.0,,
sub-010021,6.0,8,7.0,1,3.0,8.0,5.0,7,2,1,4,7.0,6.0,5,8.0,7.0,1.0,6.0,7.0,1,1.0,1,6,9.0,2.0,3,9.0,8.0,4.0,8.0,9.0,,
sub-010022,3.0,7,7.0,1,1.0,7.0,5.0,7,3,1,1,1.0,3.0,7,3.0,2.0,1.0,1.0,5.0,6,1.0,1,6,8.0,3.0,5,8.0,6.0,4.0,4.0,7.0,,
sub-010023,2.0,8,3.0,1,1.0,1.0,1.0,1,1,1,1,4.0,3.0,6,9.0,9.0,1.0,9.0,9.0,1,1.0,1,1,9.0,9.0,3,9.0,1.0,1.0,4.0,7.0,,
sub-010024,2.0,6,6.0,2,6.0,2.0,4.0,7,5,1,1,7.0,7.0,7,5.0,8.0,4.0,5.0,8.0,8,5.0,2,8,8.0,5.0,2,8.0,3.0,7.0,3.0,5.0,,
