ID,TeiQueSF_total,TeiQueSF_self_control,TeiQueSF_emotionality,TeiQueSF_sociability,TeiQueSF_well_being
sub-010017,142,4.3333333333,4.875,5.0,4.6666666667
sub-010015,103,4.0,3.5,2.8333333333,3.1666666667
sub-010100,142,5.8333333333,5.125,5.5,3.5
sub-010003,136,4.5,5.0,4.3333333333,4.6666666667
sub-010022,127,5.1666666667,2.75,4.6666666667,5.3333333333
sub-010021,127,4.3333333333,5.0,3.6666666667,4.0
sub-010023,149,4.8333333333,4.25,4.5,5.8333333333
sub-010104,117,4.0,4.0,2.3333333333,4.5
sub-010010,115,3.6666666667,3.375,3.3333333333,4.6666666667
sub-010016,177,5.5,6.125,5.8333333333,6.3333333333
sub-010019,159,4.6666666667,5.875,5.3333333333,6.0
sub-010024,154,5.0,5.0,5.0,5.6666666667
sub-010026,172,6.5,5.125,6.0,5.6666666667
sub-010027,140,4.5,4.75,6.3333333333,4.0
sub-010134,135,4.1666666667,4.75,3.6666666667,5.1666666667
sub-010028,174,6.3333333333,5.75,5.3333333333,6.6666666667
sub-010029,173,5.0,5.875,6.5,6.1666666667
sub-010030,167,6.1666666667,5.625,4.8333333333,6.3333333333
sub-010150,140,4.3333333333,5.0,4.5,4.8333333333
sub-010032,160,4.8333333333,5.75,5.0,6.3333333333
sub-010031,148,4.3333333333,4.875,4.6666666667,5.3333333333
sub-010321,139,3.6666666667,4.5,4.0,5.8333333333
sub-010033,140,4.8333333333,4.875,4.1666666667,4.8333333333
sub-010020,164,4.1666666667,4.875,6.5,7.0
sub-010170,150,5.6666666667,4.75,4.8333333333,5.1666666667
sub-010183,130,4.0,3.625,4.5,4.8333333333
sub-010035,166,5.0,5.0,5.8333333333,5.6666666667
sub-010197,161,5.0,4.25,5.8333333333,6.8333333333
sub-010202,156,5.1666666667,4.75,5.1666666667,6.3333333333
sub-010034,177,6.3333333333,5.375,5.6666666667,6.6666666667
sub-010199,131,5.0,4.375,3.8333333333,5.3333333333
sub-010040,138,4.1666666667,5.375,4.8333333333,4.3333333333
sub-010039,166,6.0,5.125,5.1666666667,6.3333333333
sub-010006,166,6.0,5.25,5.3333333333,6.0
sub-010012,160,6.0,4.875,4.5,6.1666666667
sub-010219,177,6.1666666667,5.5,6.0,6.5
sub-010041,162,5.6666666667,5.75,5.1666666667,6.1666666667
sub-010222,133,3.5,4.375,5.1666666667,4.3333333333
sub-010002,163,5.6666666667,5.875,4.5,6.5
sub-010004,167,5.6666666667,5.625,5.3333333333,6.5
sub-010044,115,4.3333333333,3.75,3.5,4.3333333333
sub-010037,122,3.1666666667,4.125,3.1666666667,4.5
sub-010223,138,5.0,4.875,3.8333333333,4.8333333333
sub-010043,150,5.3333333333,5.125,4.0,5.6666666667
sub-010045,151,4.6666666667,4.875,4.8333333333,5.5
sub-010047,127,4.6666666667,4.375,4.0,3.8333333333
sub-010007,136,5.1666666667,4.0,4.6666666667,5.3333333333
sub-010046,166,6.0,4.625,5.6666666667,6.0
sub-010048,153,4.3333333333,5.0,4.5,6.6666666667
sub-010049,138,5.5,3.625,4.3333333333,5.0
sub-010234,161,5.6666666667,5.5,4.6666666667,6.1666666667
sub-010059,159,5.5,5.25,4.1666666667,6.5
sub-010236,169,5.1666666667,6.375,4.6666666667,6.0
sub-010056,156,6.0,5.0,5.0,6.1666666667
sub-010062,146,4.0,5.0,4.3333333333,5.6666666667
sub-010063,124,4.0,5.25,5.5,3.0
sub-010060,118,4.1666666667,3.875,3.6666666667,3.6666666667
sub-010051,174,6.0,6.125,5.5,6.0
sub-010050,186,4.8333333333,6.5,5.8333333333,7.0
sub-010042,162,4.6666666667,6.0,5.8333333333,6.1666666667
sub-010068,145,4.1666666667,4.625,4.5,5.8333333333
sub-010070,180,6.1666666667,6.25,5.5,6.6666666667
sub-010238,155,4.5,5.75,5.5,5.1666666667
sub-010207,133,4.5,4.5,4.5,4.3333333333
sub-010069,151,5.5,4.875,4.8333333333,5.3333333333
